Acronym;Description
TUBCRTMN;Time ubatt is lower as a threshold to switch to MIN crank time
TUBNLMN;Delay time afterrun switch-off after voltage drop below UBNLMN
TUGDTX;Time delay of the ugd condition calculated with the tolerance-bound throttle val
TUHKLEANRP;Delay time for valid measurement of dynamic diagnosis downstream cat.
TULV1;Delay overcharge cutoff, ti fade out step 1
TULV3;Delay time for reset overload error
TUMCLFO;Upper ambient temperature for disabling cold algorithm fan control
TUMCLFU;Lower ambient temperature for disabling cold algorithm fan control
TUMDETM;Substitute value of ambient (-air) temperature for engine coolant temp. model
TUMDSTDMN;Minimum ambient temperature for check of tank pressure sensor for drift
TUMDSTDMX;Maximum ambient temperature for check of tank pressure sensor for drift
TUMDSTU;Minimum ambient temperature for diagnosis of tank pressure sensor.
TUMGDEF;Environement temperature default value for the transmission temperature model.
TUMGKTDMN;Minimum ambient temperature for catalyst diagnosis
TUMGMNKH;Minimum ambient temperature for release of catalyst heating
TUMTAI;Initial value of ambient temperature
TUMTHEB;Ambient temperature limit for tank leak diagnosis
TUMTLDO;Upper TUMG-threshold for evap system monitoring
TUMTLDU;Lower TUMG-threshold for evap system monitoring
TUMTO;Dead time for switch-over: CJ120
TUMTOE;Dead time for switch-over: CJ120/CJ125 for electrical adjustment
TUPWG1O;Fault time for upper violation of range by PWG potentiometer 1
TUPWG1U;Fault time for lower violation of range by PWG potentiometer 1
TUPWG2O;Fault time for upper violation of range by PWG potentiometer 2
TUPWG2U;Fault time for lower violation of range by PWG potentiometer 2
TUPWG12;Fault time during comparison of PWG potentiometer 1 and 2
TUSBELH;Time for holding of the sensor voltage after on-load impulse downstream catalyst
TUSCHERKAH;Time duration for the extension of condition successful overrun downstream mean
TUSCHFMRH;Delay time for the reset condition for across the sensorvoltage at overrun downs
TUSCHUB;Delay time for interference peaks at thrust detection of the rear oxygen sensor
TUSDUFA;Time delay for detec. interc. short circuit sens. downstr.(func. rec.short-trip)
TUSDUH;Time delay for detection intercore short circuit l. sensor downstr. cat.
TUSEHKH;Delay time after dew point end to enable check of heater downstr. cat
TUSENLASH;Time for duration until lean/rich detection is downstream cat
TUSHKRFM;Time duration for release of oscillation check. (Reset F/M-Flip-Flop)
TUSHZFH;Time window to measure heater coupling to sensor signal downstr. catalyst
TUSKS;Time of inter. suppress. f. switching off single funct.:sensor downstr. the cat.
TUSLASH;Test time for duration enrichment/enleanment downstream catalyst
TUSMAX;Monitoring time for Usmax
TUSMCDYSH;Delay time for monotony check of dynamic diagnosis downstream cat.
TUSRIBERH;Delay time for Ri- measurement after leaving the voltage range downstr. cat
TUSSA;Delay time after crossing the control threshold downstream cat
TUSTAL;Delay for detection'wire to wire connection' after 'empty fuel tank for O2 po.ct
TUSTALLASH;Delay for detection B_maxlash after empty fuel tank for O2 po.ct
TVAAV05;Delay time before closing of canister vent valve (0.5-mm-check)
TVABGL;Delay time for LSU adjusting
TVALBTS;Delay time shutdown lambdasoll component protection
TVANWSTEND;Adjustable delay time after which start end has been reached
TVARS;Delay time until antisurge is inactive again
TVARSA;Time f. activation of dynamic surge damp. interv. after fuel cut-off
TVARSS;Delay time for AR active again in case of steady-state
TVAST;Turn on delay time for request of sensor signal trimming
TVBKVNHOM;Delay time for demand emergency operation HOM, because ps>psmxbkvg
TVBRMX;Delay time for activation of board-function
TVCLTODC;L-terminal off timer expired
TVDESHLSU;Duty cycle after end of start ramp to activate diagnosis at sensor lines VM/UN
TVDFRZAIP;Settle time with dfrza > DFRZASNAMN
TVDGENEST;Delay after end of start for alternator power stage diagnosis
TVDK;Delay time after closing of the throttle
TVDKPRMX;Max. delay time of DK prediction
TVDLBTSZW;Time delay for activation of component protection in the event of ignition angle retard
TVDNOZW;Time for delta engine speed without ignition angle intervention
TVDOCVM;Delay time to enable diagnosis open circuit at VM
TVDRL;Delay time for dynamics measurement LSU
TVDSKVH;Time constant for healing of pressure sensor error
TVDSKVRH;Time constant for healing of pressure sensor error
TVENMX;Delay of the diagnosis \max. pulse-duty ratio\ after heater on\ or after B_SA
TVERBL;Delay time for brake-light-switch signal check
TVERBR;Delay time for brake-switch plausibility check
TVEVLOCTE;Delay time for injection restart after suppression
TVFAHRLSU;Delay time due to function request
TVFGKHTUM;Time delay of condition B_stend for evaluation of ambient temperature (catalyst
TVFHSH;Debounce time for rear Lambda sensor heater diagnosis
TVFKOTT;Time threshold for setting F-terminal fault at 'key-on test'
TVFRSTSI;Time for the setting of bit missing signal
TVFRTT;Time threshold for setting F-terminal fault at 'run test'
TVFSAM2;Delay time after DRIVE-position switch off
TVFSAWE;Time delay until resetting of B_fil
TVFSEM2;Delay time after DRIVE-position switch on
TVFSRAM2;Engine-temp.-dependent delay time for gear selection off (R)
TVFSREM2;Engine-temp.-dependent delay time for gear selection on (R)
TVFSTD;Delay time fuel level sensor diagnostic
TVFSTDSOK;Delay time for Fuel-level electrical-check OK detection
TVFVPVA;Delay time f. enabling of unlocking the exhaust CmS
TVFVPVE;Delay time f. enabling of unlocking the intake CmS
TVFZEHEAL;Delay time for healing of the electrical error path DFP_FVZE
TVFZGSUS;Time to detect suspendig vehicle speed sensor
TVFZGTFUEL;Lowpass time constant vfzg_LT
TVGAIN;Delay time for change gain from 8 to 17
TVGAT;Delay time for torque limitation by exhaust temperature
TVGATUP;Turn on delay time for torque limitation by exhaust temperature
TVGSCH;Delay time for condition: gear shift active
TVHSHEE;Debounce time for heater output stage diagnosis downstream kat
TVHSHRI;Delay time for Ri fault downstream kat
TVHSHRIHEL;Delay time for healing Ri fault downstream kat, if B_npfhsh =1
TVHSHRIZ;Delay time for healing Ri fault downstream kat
TVKOED;Switch-on delay at A/C turning-on
TVKOEMXD;Max. compress. ON time via tester after demanded sw.off
TVKOLS;Delay time f. compress. sw.off at low engine speeds
TVKOM;Delay between B_kom and B_koe
TVKOMOF;Delay time for compressor off
TVKONOFF;T ime
TVKORES;Delay time for built-up of torque reserve
TVKOSLUG;Maximum amount of time for antislugging action
TVKTDB;Time delay Start catalyst diagnosis
TVKTDLE;Cat monitoring: delay time until lambda stabilized
TVKTDLL;Time delay after idle for start catalyst diagnosis
TVKTDMLS;Time delay enable catalyst diagnosis after air mass steady
TVKTDMTPE;Time delay enable catalyst diagnosis after dew point end, in dependant of engine
TVKTDRMX;Maximum richt time for rear sensor at cat. monitoring
TVKTDTKB;Time delay dependant of temperature for enable catalyst monitoring
TVKTDTKS;Time delay enable catalyst diagnosis after catalyst temperature steady
TVKUP;Delay time for B_kupplv
TVKUPARE;Delay tine of unclutching for anti-jerking function
TVKUPGW;Delay time prior to reset of B_kupgw after engaging
TVKUPHS;Delay time for clutch switch during shifting in higher gear
TVKUPPL;Delay time for the cluch information
TVKUPRS;Delay time for clutch switch during shifting in lower gear
TVKUPV;Delay time for resetting of B_kupplv
TVKUPVN;Additional delay time for resetting of B_kupplv
TVKUPVX;Delay time for resetting of RS-FF for setting of B_kupplv
TVLADV;Integrator time constant at vlast-calculation
TVLBTS;Delay time lambda target component protection
TVLBTSNVK;Delay time for lambda request for component protection due to temperatures downs
TVLBTSVVK;Delay time lambda target component protection pre-cat
TVLDMN;Minimum limit, on/off ratio for boost control
TVLDMX;Limit, on/off ratio (max.) for boost control
TVLISTU;Time during witch a negative integrator value is forbidden
TVLKOTT;Time threshold for setting L-terminal fault at 'key-on test'
TVLLR;Turn-on delay: B_llri at engine speed overshoot
TVLLRI;Delay time to enable I-component after start-up
TVLLRPD;Maximal delay time to enable PD components after start-up
TVLLRPST;Delay to disable proportional parameter in start
TVLLRST;Delay to disable proportional parameter in start
TVLLRSTE;Enable idle speed control after start
TVLRA;Delay time for activation of the lambda adaption after lambda control active
TVLRHLR;Delay time wenn B_lr ist disable
TVLRTT;Time threshold for setting L-terminal fault at 'run test'
TVLSUBB;Maximum permitted delay time after start for operating readiness of LSU
TVLSUDIP;Delay time to set condition: sensor signal near 1.5V (B_lsudip)
TVLSULUFT;Delay time for fault LSU in air
TVLSUTRIM;Delay time for fault LSU interrupt trim resistor
TVLSUTRIMF;Delay time for fault LSU interrupt trim resistor on FA
TVLSUTRIMZ;Delay time for healing/cycle flag interrupted IA line
TVLSUTRZF;Delay time for healing/cycle flag interrupted IA line, (B_Fa)
TVLSUUMN;Delaytime Detection of Voltage fault during fuel-cut-off
TVMDTRAEGM;Delay after start for computation of synamic torque
TVMIBEG;Debounce time for activation of ignition intervention during torque limitation
TVMINMKU;Max duration of gear shift for not limiting engine speed via air path
TVMNDK;Max duration for not limiting engine speed via air path
TVMXLTOF;Cumulativ L-terminal off time
TVMXPRG;Speed prediction time for VMAX control
TVNEVA;Waiting period until next unlocking cycle of exhaust CmS
TVNEVE;Waiting period until next unlocking cycle of intake CmS
TVNLGA;Switch-off time for operating readiness for adaption factor
TVNSADLROF;Time delay switch off afterstart adaptation by active lambda control
TVNSZWMS;Time delay after start for activation of ignition-angle for engine protection
TVNW;Delay time until camshaft switchover
TVNWGE;Delay time until switchover enable following transmission intervention
TVNWPCA;Time delay during which the normal duty cycle is applied for the Pin Cycler Algo
TVNWPCE;Time delay during which the normal duty cycle is applied for the Pin Cycler Algo
TVNW_S;Delay time after the inlet valve is in retarded position with certainty
TVNWSTTM;Delay time : enable of camshaft control after start, depending on engine temp
TVOCIPLL;Delay time to set error open circuit at IP (frm)
TVOCVM;Delay time to set error open circuit at sensor line VM
TVOSTANA;Debounce time before 'Standabkopplung'
TVP;Delay time failure verification powerstage diagnosis ME(D) 9
TVPBKVK;Time delay pressure of break booster constant
TVPBKVNB;Delay time of braking reaction after braking
TVPDKP1;Delay time for recognition of implausible signal from throttle potentiometer 1
TVPDKP2;Delay time for recognition of implausible signal from throttle potentiometer 2
TVPHFS;Debouncing time for fault of main charge sensor in GGDVE
TVPKH;Delay: proportional parameter for kathalyst-heating
TVPRMNPL;Debouncing time of high pressure sensor range check
TVPWDK12;Fault-tolerance time for checking synchronouso operation of DK potentiometers
TVPWDK13;Fault-tol. time checking sync.-operation pot. 1 and subs. value from charging
TVPWDK23;Fault-tol. time checking sync. operation DK-pot. 2 and subs. value from charging
TVPYGAR;Dealy time for next homogenous request from mixture adaptation
TVREABO;Delay time for reset of counter for fuel in oil
TVRESLL;Hold time for increased torque reserve after engine speed drop
TVRESTM;Initialization period: torque reserve after start-up
TVRIHEE;Delay time for Ri fault
TVRINNPH;Delay time to stop 3kHz modulation because Ri is too high
TVRSTHDEBF;Max. waiting time for high fuel pressure at initial fueling mode
TVSABFA;SA-delay time at function request ((B_fa) and gangi = 0
TVSABGL;Delay time for LSU adjusting after starting
TVSABTE;Delay time for CPV colsing vor fuel cut off
TVSADYN;Delay time for condition B_sadyn
TVSAG0;Delay fuel cut off at gear 0
TVSALSUMN;Minimum active fuel cut off time to evaluate statistic block
TVSAOCVM;Delay time after fuel cut off to activate Diagnosis on open circuit at line VM
TVSATMOT;Turn-on delay to activate adjustment of LSU in air due to motor temperature
TVSATMOTFA;FR Turn-on delay to activate adjustment of LSU in air due to motor temperature
TVSAUGST;Turn on delay time for start of sensor signal trimming
TVSDENO;Delay of B_lrs at switch to homogeneous operation mode during regeneration
TVSERSL;Delay time for setting error flag of monitoring of lambda sensor wires
TVSHEIP;Delay time to set cycle flag Z_lsuip
TVSHESL;Delay time for healing of lambda sensor wires faults
TVSLRS;Delay of B_lrs at negative edge of B_schicht
TVSNPFNA;Delay time to suppress disturbances at debounce time
TVSTAEVAB;Debounce time before switching off injectors after error at starter relay
TVSTANDA;Debounce time after 'Standabkopplung'
TVSTEND;Time delay for B_stend
TVSU;Delay time for intake manifold switch over
TVSUDC;VIM control duty cycle request flap on by device control
TVTANKL;Delay time for information canister empty-state terminated
TVTEB;Delay time for locking of Purge control after switch off of Injection
TVTIPLL;Wate time for tip-in active
TVTKLSU;Delay time for setting Error as a reason of empty tank
TVTLEPL;Delay time for enabling of empty fuel tank diagnosis
TVTSO_UM;Negative offset of KLTVTS_UM
TVTUMTA;Delay for threshold velocity for determination ambient temperature
TVUBFRA;Delay time for mixture adaptation demand FRA-range
TVUBLRA;Switch off time for avoidance of opearating mode switchting in range limit
TVUBORA;Delay time for mixture adaptation demand ORA-range
TVUPRMNPL;Time delay until setting of B_uprmnpl
TVVALDYNSA;Delay of B_valdyn
TVZHRNOT;Maximal zul. Zeit für Unterbrechung der Startdiagnose
TVZMSVRC;Pullin Impulse for reduced Current control
TVZWMSA;Time until transition to continuously retarded limiting
TVZWMSE;Time until transition to dynamic retarded limiting
TWADTHMS;Eng. start temp. depend. time for freezing temp. model of thermostat monitoring
TWAFMN;Lower threshold of the temperature field for fine adaption
TWAFMX;Upper threshold of the temperature field for fine adaption
TWAKEOF;Accumulated waiting time out of matched area to reset cooling down recognition
TWAKEON;Waiting time within matched area to set condition for cooling down recognition
TWANLFO;Transmission oil temperature threshold for the fan power
TWANLFU;Transmission oil temperature threshold for the fan power
TWARMUPTOP;Warm-up time for daily cycle check TOP
TWATMN;Minimum engine temperature for angle adaptation camshaft by demand on tester
TWATMX;Maximum engine temperature for angle adaptation camshaft by demand on tester
TWBDCY;Waiting time for condition 'driving cycle'
TWBKLHOF;Accumulated waiting time out of matched area to reset cond. radiation power high
TWBKLHON;Waiting time within matched area to set condition radiation power high
TWBKLNOF;Accumulated waiting time out of matched area to reset cond. radiation power low
TWBKLNON;Waiting time within matched area to set condition radiation power low
TWDKNL;Time after nmot = 0 and Kl.15 OFF until run after
TWDKRED;Weighting time constant for filtering of reference throttle blade position
TWDKSEB1;Time Setpoint 1 for DV-E ice breaking active
TWDKSEB2;Time Setpoint 2 for DV-E ice breaking active
TWDKSNST;Time constant for filtering of reference throttle blade position
TWDMAD;Waiting time to enable adaptation of resistant torque
TWDTESKF;Wating time from finish DTESK until start EONV
TWEONVNL;Key off waiting time until start of tank leak diagnosis EONV
TWFSOLMN;Debounce time of condition oil level low
TWFSOLOK;Debounce time of condition oil level o.K.
TWHRSTMX;Maximum pipe wall temperature to set internal cycle flag of start diagnosis
TWKFGR;Delaytime for freezing accelerator pedal after opening converter clutch
TWLRTMS;Waiting time up to check engine temp. signal exceeding threshold for closed loop
TWNWSSRFA;Time constant for lowpass filter setpoint camshaft outlet early
TWNWSSRFE;Time constant for lowpass filter setpoint camshaft inlet early
TWNWSSRSA;Time constant for lowpass filter setpoint camshaft outlet retarded
TWNWSSRSE;Time constant for lowpass filter setpoint camshaft inlet retarded
TWPLK;Debouncing time for withdrawal of the idle input at life detection
TWPMBBR;Delay time for limiting pedal travel for operated brake
TWRVSDKMX;Delay time for time RVS monitoring of max throttle position
TWRVSNMX1;Delay time for time RVS monitoring of max limit 1 engine speed
TWRVSNMX2;Delay time for time RVS monitoring of max limit 2 engine speed
TWRVSPEDMX;Delay time for RVS monitoring of max. accelerator pedal position
TWRVSPOLMN;Delay time for time RVS monitoring of low oil pressure
TWRVSVFZG;De-bouncing time vehicle speed to high for RVS
TWSKWATMMX;Max.time for heat.flow requirement for faster reach Taupunktende
TWSTT;Threshold soak time for re-start
TWSVSENA;Waiting period from INI f. SVS OFF onwards, at blink code output
TWSVSINI;Waiting period from INI f. SVS OFF onwards, at empty fault memory
TWSVSINIF;Waiting period from INI f. SVS OFF onwards, at stored fault
TWSVSPC;Waiting period f. pause between 2 complete blink codes
TWSVSPS;Waiting period f. 1st pause at the start of the blink code output
TWSVSPZ;Waiting period f. pause between 2 digits within a blink code
TWSVSST;Waiting period after engine start f. SVS OFF, at empty fault memory
TWSVSSTF;Waiting period after engine start f. SVS OFF, at stored fault
TWTEFBPW;Waiting time for switching filter time contants of band filter (word)
TWTMNHST;Waiting time for max.-range check of TMOT following hot soak start
TWTPEAPFSO;Representative wall temperature for heat-quantity calculation middle sensor
TWTPEAPHSO;Representative wall temperature for heat-quantity calculation downstream sensor
TWTPEAPVSO;Representative wall temperature for heat-quantity calculation upstream sensor
TZ2FGRGA;Double numerator time constant for cruise control
TZPUPVDG;Time delay for zyklus from comparison with boost pressure
TZSPINI;Resting time for filter initialisation
UADPACMN;Minimum input voltage for pressure sensor AC diagnosis
UADPACMX;Maximum input voltage for pressure sensor AC diagnosis
UADPSRMN;Maximum voltage value for diagnostic pressure sensor
UADPSRMX;Minimum voltage value for diagnostic pressure sensor
UANAUFRP;Step width for OPEN ramp
UANLATS;Upper inlet air temperature threshold for release of learning
UANLATSNL;Upper inlet air temperature threshold for release of learning in afterrun
UANNMAX;Engine speed threshold for the release of the UMA learning and gain adjustment
UAN_O_MT;Upper engine temperature threshold for stop limit
UAN_O_MTNL;Upper engine temperature threshold for stop limit in afterrun
UANPEDMAX;Pedal threshold for UMA learning allowed
UANPIDMIN;Abort threshold PID-sum for CLOSE ramp
UANPIDMINA;Abort threshold PID-sum for OPEN ramp
UAN_STORE;Threshold for storage of new learning values
UANUATS;Lower inlet air temperature threshold for release of learning
UANUATSNL;Lower inlet air temperature threshold for release of learning in afterrun
UAN_U_MT;Lower engine temperature threshold for stop limit
UAN_U_MTNL;Lower engine temperature threshold for stop limit in afterrun
UANVFZG;Car velocity threshold for DV-E check/adaption
UANZURP;Step width for CLOSE ramp
UAOCUNMN;Lower plausible IC output voltage UA to detect open circuit at sensor line UN
UAOCUNMX;Upper plausible IC output voltage UA to detect open circuit at sensor line UN
UAOCVMMN;Lower plausible IC output voltage UA to detect open circuit at sensor line VM
UAOCVMMX;Upper plausible IC output voltage UA to detect open circuit at sensor line VM
UASNAMN;Lower threshold to detect open circut at sensor line IP
UASNAMX;Upper threshold to detect open circut at sensor line IP
UBALSUMX;Battery voltage threshold for switching off oxygen sensor heater of LSU
UBBLSUMX;Max. battery voltage threshold
UBBSPMN;Min. Ubat-threshold f. release of the BSP752R-power stage diagnosis
UBBSPMX;Max. Ubat-threshold f. release of the BSP752R-power stage diagnosis
UBCJMN;Min. Ubat-threshold f. release of the BSP752R-power stage diagnosis
UBCJMX;Max. Ubat-threshold f. release of the BSP 752 R-power stage diagnosis
UBCRTMN;Threshold for ubatt cuases a shorter crank time
UBDFSTMN;Minimum battery voltage for Fuel-level diagnostics
UBDFSTMX;Maximum battery voltage for Fuel-level diagnostics
UBDHLSHMN;Lower battery voltage threshold for release the sensor heater diagnosis
UBDHLSHMX;Upper battery voltage threshold for the sensor heater diagnosis
UBDICLSUMX;Max. operating voltage to activate the DICLSU
UBDMN1;Min. battery voltage (power supply)
UBDMN2;Min. battery voltage (ADC)
UBDMX;Max. battery voltage
UBDYLSHMN;Minimum battery voltage for dynamic diagnosis
UBDZMN;Minimum threshold for DZKU calculation
UBDZMX;Maximum threshhold for DZKU calculation
UBEONVMN;Min. system voltage below which EONV Diagnoses is not enabled
UBHFMMN;Minimal supply voltage for MAF-Sensor
UBHFMSQ;Battery voltage threshold for the switch to substitute load signal in standard q
UBHRLSUMN;Minimum supply voltage for LSU for diagnosis DHRLSU / DHRLSUE
UBHRLSUMX;Maximum supply voltage for LSU for diagnosis DHRLSU
UBHSHK;Battery voltage threshold for switching off oxygen sensor heater
UBKOHOFF;Upper batt. volt. thresh. for compress. sw.off
UBKOHON;Upper batt. volt. thresh. for compress. sw.off
UBKOKOE;Minimum battery voltage to re-engage compressor
UBKOLOFF;Lower battery voltage threshold f. compressor switch-off
UBKOLON;Lower battery voltage threshold f. compressor switch-on
UBKOSLUG;Battery voltage for antislugging action
UBKST;Battery-voltage limit for ZUBKSTMX
UBKSTMX;Threshold number of Ubat measurements lower than UBKST for adaptation blocking
UBLF;Minimal battery voltage for fan afterrun
UBLFSNOM;Nominal system voltage with the engine running
UBMNDCAN;Min. battery voltage for enabling of CAN diagnosis
UBMNPUP;Minimum threshold of onboarb voltage for enabling pullup resistor
UBMSVMN;Minimum allowed battery voltage MSV5 output stage diagnosis
UBMSVMX;Maximum allowed battery voltage control MSV
UBMXDCAN;Max. battery voltage for enabling of CAN diagnosis
UBNLMN;Lower limit for Batterey target voltage
UBRESMIN;Lower threshold for onboard battery voltage via main relay to enable injection
UBRUVO;Upper limit ubr for driving output stage of dump valve
UBSQBKVMN;Min. battery voltage threshold for control brake booster pump possible
UBSQBKVMX;Max. battery voltage threshold for control brake booster pump possible
UBSQDKUPPL;Battery voltage threshold for releasing the clutch pedal position sensor diagno
UBSQDLS;Battery voltage threshold for release the sensor diagnosis with standard quantiz
UBSTADCL;Minimal battery voltage to allow the starter relay device control
UBT2DCMN;Minimum battery voltage for EKP-Tester device control
UBT2DCMX;Maximum battery voltage for EKP-Tester device control
UBTEDO;Maximum battery voltage for diagnosis
UBTEDU;Minimum battery voltage for evap leakage diagnosis
UBTEMN;Minimum battery voltage fuel purge control
UBTEMX;Maximum battery voltage fuel purge control
UB_UANL;Battery voltage threshold for release of learning
UCLRELTRT1;Threshold triggering the learning of the clutch pedal released position
UCLRELTRT2;Threshold triggering the learning of the clutch pedal released position
UCLRPSCAL;Scaling value for clutch pedal released position
UCLURPADMX;Max. increase rate for learning the clutch pedal released position
UCLUTCHMN;CPP sensor voltage, threshold for min. error
UCLUTCHMX;CPP sensor voltage, threshold for max. error
UCLUTRELBD;Initial value reduction (bump-down) for learning the clutch pedal released posit
UCPPFAPMN;Min. learning window clutch pedal released position
UCPPFAPMX;Max. learning window clutch pedal released position
UCPPLRNSTX;Max. threshold for detection of clutch pedal position being stable
UCPPRELMN;Min. learning window clutch pedal fully applied position
UCPPRELMX;Max. learning window clutch pedal fully applied position
UDCJ840MN;Min. battery threshold for enable CJ840 diagnosis
UDCJ840MX;Max. battery threshold for enable CJ840 diagnosis
UDKNLP1N;Nominal value voltage DK-Poti 1 in NLP-position
UDKNLP2N;Nominal value voltage DK-Poti 2 in NLP-position
UDKP1AMAX;Max. voltage DK-Poti 1 at lower DK limit stop
UDKP1AMIN;Min. voltage DK-Poti 1 at lower DK limit stop
UDKP1AURI;Voltage DK-poti 1 at the lower DK limit stop, initial. value
UDKP1MN_UC;Min. voltage for throttle sensor 1 output at lower mechanical stop in instructio
UDKP1MN_UM;Min. voltage for throttle sensor 1 output at lower mechanical stop
UDKP1O;Maximum permissible voltage from throttle potentiometer 1
UDKP1U;Minimum permissible voltage from throttle potentiometer 1
UDKP2AMAX;Max. voltage DK-Poti 2 at lower DK limit stop
UDKP2AMIN;Min. voltage DK-Poti 2 at lower DK limit stop
UDKP2AURI;Voltage DK-poti 2 at the lower DK limit stop, initial. value
UDKP2MX_UC;Max. voltage for throttle sensor 2 output at lower mechanical stop in instructio
UDKP2MX_UM;Max. voltage for throttle sensor 2 output at lower mechanical stop
UDKP2O;Maximum permissible voltage from throttle potentiometer 2
UDKP2U;Minimum permissible voltage from throttle potentiometer 2
UDKPALOS;Voltage offset for detection of the breakaway
UDKPAOFF;Voltage offset at lower limit stop
UDKPATMX;Max. possible offset of the temp. UMA adaptation
UDKRTP;Integr.volt.thresh. f.diagn. knock eval.circ. test pulse
UDKSNO;Upper reference voltage threshold for diagnosis knock sensors
UDKSNU;Lower reference voltage threshold for diagnosis knock sensors
UDSBKVMN;Min. input voltage for brake booster pressure sensor diagnosis
UDSBKVMX;Max. input voltage for brake booster pressures sensor diagnosis
UDSTMN;Minimum Tank Pressure Sensor Voltage
UDSTMX;Maximum Tank Pressure Sensor Voltage
UDSUMN;Minimum input voltage for pressure sensor diagnosis
UDSUMX;Maximum input voltage for pressure sensor diagnosis
UDSVDMN;Minimum input voltage for pressure sensor upstream throttle valve diagnosis
UDSVDMX;Maximum input voltage for pressure sensor upstream throttle valve diagnosis
UEVERG;Gear ratio depending of the gear
UFACCC;EGAS monitoring concept. ACC input signal monitoring functions monitoring
UFFGRC;ETS monitoring concept. monitoring of cruise control for function monitoring
UFFGRE;ETS monitoring concept. CC input information used in functional monitoring
UFGRAOFMX;Max. voltage of analog cruice control switch (main switch off)
UFGRAONMN;Min. voltage of analog cruice control switch (main switch on)
UFGRAONMX;Max. voltage of analog cruice control switch (main switch on)
UFGRARAMN;Min. voltage of analog cruice control switch (main switch on and Resume/Accel)
UFGRARAMX;Max. voltage of analog cruice control switch (main switch on and Resume/Accel)
UFGRASDMN;Min. voltage of analog cruice control switch (main switch on and Set/Delay)
UFGRASDMX;Max. voltage of analog cruice control switch (main switch on and Set/Delay)
UFHSMN_UM;Lower threshold for detection CC main switch ON
UFHSMX_UM;Upper threshold for detection CC main switch ON
UFLTSTADMN;Min voltage threshold for the injection flow test device control when the starte
UFLTSTAEMN;Min voltage threshold for the injection flow test device control when the starte
UFMIST;ETS monitoring concept. Calculation of actual torque in UF
UFMSRC;ETS monitoring concept. MSR intervention monitoring for functions monitoring
UFMVER;ETS monitoring concept. torque comparison of functional monitoring
UFMX_UM;Threshold for detection voltage from CC lever too high
UFMZF;ETS monitoring concept. torque filter for function monitoring
UFMZUL;ETS monitoring concept. Calculation of permissible torque in UF
UFNC;ETS monitoring concept. Afterstart monitoring for function monitoring
UFNSC;ETS monitoring concept. Afterstart monitoring for function monitoring
UFOLV_T_UC;Time Constant for UFOLF_C_UM in Instruction Test
UFOLV_T_UM;Time Constant for UFOLF_C_UM in Function Monitoring
UFREAC;ETS monitoring concept. Monitoring of fault reaction of functional monitoring
UFRLC;EGAS monitoring concept. load signal superv for function monitoring
UFSPSC;EGAS monitoring of pedal value for function
UFST1MN;Minimum primary-fueltank level-signal for ground-short detection
UFST1MX;Maximum primary-fueltank level-signal for supply-short detection
UFST2MN;Minimum secondary-fueltank level-signal for ground-short detection
UFST2MX;Maximum secondary-fueltank level-signal for supply-short detection
UFSVMN_UM;Lower threshold voltage from CC lever SET/COAST
UFSVMX_UM;Upper threshold voltage from CC lever SET/COAST
UFWBMN_UM;Lower threshold voltage from CC lever RESUME/ACCELERATE
UFWBMX_UM;Upper threshold voltage from CC lever RESUME/ACCELERATE
UFZWC;EGAS monitoring concept. Monitoring of ignition angle for function monitoring
UHRMN;Voltage threshold for diagnosis of relay contact
UHSHAN;Characteristic for the Lambda- sensor heater voltage after start
UHSHMX;Maximum battery voltage for lambda sensor heating
UHSHNENN;Nominal battery voltage for lambda sensor heating
UHSHOFF;Battery offset-voltage for lambda sensor heating
UHSHTP;Battery voltage for lambda sensor heating during dewpoint downstream catalyst
UMDYLDR;Change over threshold for dynamic boost control
UMKOM;ETS monitoring concept. Enquiry/response communication between UM/FR
UMSRLNMN;Min. umsrln_w for desired mass flow calculation
UMSVOFFMN;Lower limit for short circuit to ground recognition at MSV output stage diagnosi
UMSVONMX;Upper limit for short circuit to Ubatt. recognition at MSV output stage diagnos
UNEGHSH;Value for the reduction of the sensor heating after start
UNWDHFM;Camshaft rotations for debouncing diagnosis DHFM
UNWDPLPSR;Camshaft rotations for debouncing diagnosis DSS
UNWDPLPVD;Camshaft rotations for debouncing diagnosis PVD
UOSCMEHI;Voltage threshold rich for OSC measurement
UOSCMELO;Voltage threshold lean for OSC measurement
UOSCMEPTY;Threshold for post-cat voltage for the detection of an empty catalyst
UPOSHSH;Value for the increase of the sensor increase voltage after start
UPRMMNPL;Minimum value for plausible uprm_w
UPRMMXPL;Maximum value for plausible uprm_w
UPWG1O;Upper barrier for PWG potentiometer-1 voltage
UPWG1U;Lower barrier for PWG potentiometer-1 voltage
UPWG2O;Upper barrier for PWG potentiometer-2 voltage
UPWG2U;Lower barrier for PWG potentiometer-2 voltage
UPWG12U;Lower limit for PWG potentiometer volt. before comparison potentiometer 1 and 2
UPWGADAPOF;Offset for the adapted pedal idle position (equals repeatability)
UPWGKDMN;Lower volt. limit of accelerator pedal poti for tolerance range of kick-down pos
UPWGKDMX;Upper volt. limit of accelerator pedal poti for tolerance range of kick-down pos
UPWGKDO;Upper hyst. switching point for kick-down detection from potentiometer voltage
UPWGKDU;Lower hyst. switching point for kick-down detection from potentiometer voltage
UPWGLRNMN;Minimum allowed pedal value for learning
UPWGLRNMX;Maximum allowed pedal value for learning
UPWGO;Upper PWG voltage value for re-scaling to pedal value
